16,8.26,public
17,7.43,public
18,7.70,public
19,7.88,public
20,8.53,public
21,9.89,public
22,10.43,public
23,11.61,public
24,12.02,public
25,13.35,public
26,13.28,public
27,13.98,public
28,14.44,public
29,15.06,public
30,15.44,public
31,15.74,public
32,16.42,public
33,16.26,public
34,16.75,public
35,16.66,public
36,16.25,public
37,16.82,public
38,16.40,public
39,16.46,public
40,17.28,public
41,16.17,public
42,16.12,public
43,16.07,public
44,16.17,public
45,16.30,public
46,16.18,public
47,16.50,public
48,16.98,public
49,16.04,public
50,16.77,public
51,16.74,public
52,17.11,public
53,16.74,public
54,16.93,public
55,17.11,public
56,16.76,public
57,16.00,public
58,17.07,public
59,16.45,public
60,15.90,public
61,15.74,public
62,14.47,public
63,14.95,public
64,14.22,public
16,5.15,private
17,5.53,private
18,6.33,private
19,6.71,private
20,7.07,private
21,7.73,private
22,8.19,private
23,8.82,private
24,9.40,private
25,10.45,private
26,10.77,private
27,11.37,private
28,11.98,private
29,12.64,private
30,13.23,private
31,14.26,private
32,15.06,private
33,15.25,private
34,15.39,private
35,15.88,private
36,16.23,private
37,16.03,private
38,16.42,private
39,16.92,private
40,16.45,private
41,16.41,private
42,16.89,private
43,16.38,private
44,16.89,private
45,16.63,private
46,16.65,private
47,16.05,private
48,16.13,private
49,16.18,private
50,15.47,private
51,15.96,private
52,15.25,private
53,15.44,private
54,15.08,private
55,14.31,private
56,14.32,private
57,14.37,private
58,14.11,private
59,14.12,private
60,13.25,private
61,13.76,private
62,12.84,private
63,12.80,private
64,12.38,private
