Date,Open,High,Low,Close,Volume,Adj Close
3/1/2002,59.05,65,58.31,60.31,55857200,22.37
4/1/2002,59.83,60.4,51.44,52.26,67948300,19.38
5/1/2002,52.16,56.44,48.35,50.91,67578800,18.88
6/3/2002,50.99,56.44,49.17,54.7,96181400,20.29
7/1/2002,54.12,54.93,41.41,47.98,114821000,17.8
8/1/2002,47.58,53.45,43.8,49.08,80631600,18.2
9/3/2002,48.52,51.1,43.11,43.74,90564100,16.22
10/1/2002,44.32,54.07,43.19,53.47,112232300,19.83
11/1/2002,52.43,58.64,51.9,57.68,79219500,21.39
12/2/2002,58.65,58.96,51.26,51.7,63170400,19.18
1/2/2003,52.3,57.32,47.03,47.46,86929500,17.6
2/3/2003,47.93,49.1,23.3,23.7,73871300,17.64
3/3/2003,24.02,26.8,22.55,24.21,68727900,18.02
4/1/2003,24.46,26.43,23.95,25.57,62151600,19.03
5/1/2003,25.54,26.5,23.89,24.61,66480900,18.32
6/2/2003,24.98,26.51,23.6,25.64,77050900,19.08
7/1/2003,25.59,27.81,25.39,26.41,61659800,19.65
8/1/2003,26.33,26.95,25.43,26.52,47667100,19.74
9/2/2003,26.7,30,26.47,27.8,62697200,20.69
10/1/2003,28.03,29.46,25.91,26.14,63898000,19.56
11/3/2003,26.35,26.75,24.84,25.71,77670400,19.24
12/1/2003,25.9,27.55,25.5,27.37,69030000,20.48
1/2/2004,27.58,28.83,27.26,27.65,63635800,20.69
2/2/2004,27.61,27.8,26.35,26.53,57385900,19.85
3/1/2004,26.63,26.72,24.01,24.93,77111900,18.66
4/1/2004,24.95,27.72,24.85,26.13,77386600,19.56
5/3/2004,26.19,26.6,25.42,26.23,58942400,19.63
6/1/2004,26.13,28.8,25.86,28.56,77068200,21.37
7/1/2004,28.7,29.89,27.25,28.49,76666600,21.32
8/2/2004,28.27,28.55,26.85,27.3,52104600,20.49
9/1/2004,27.23,27.79,26.74,27.65,57725200,20.75
10/1/2004,27.82,28.89,27.55,27.97,65742900,20.99
11/1/2004,28.16,30.2,26.1,26.81,86446000,22.43
12/1/2004,26.95,27.44,26.68,26.72,84488000,22.35
1/3/2005,26.8,27.1,25.64,26.28,79642800,21.99
2/1/2005,26.25,26.5,25.13,25.16,75992300,21.11
3/1/2005,25.19,25.79,23.82,24.17,72899700,20.28
4/1/2005,24.24,25.45,23.94,25.3,77090200,21.23
5/2/2005,25.23,26.09,24.64,25.8,62699700,21.72
6/1/2005,25.73,26,24.82,24.84,62956700,20.91
7/1/2005,24.85,26.48,24.5,25.61,69046600,21.56
8/1/2005,25.81,27.94,25.76,27.38,65529900,23.12
9/1/2005,27.38,27.39,25.12,25.73,66976400,21.72
10/3/2005,25.71,25.8,24.25,25.7,72132400,21.7
11/1/2005,25.61,28.25,25.61,27.68,71469100,23.44
12/1/2005,27.73,28.1,26.1,26.15,62892300,22.14
1/3/2006,26.25,28.38,26.1,28.15,74173200,23.84
2/1/2006,27.96,28.07,26.34,26.87,58565000,22.83
3/1/2006,26.98,28.22,26.62,27.21,65223100,23.12
4/3/2006,27.67,27.94,24,24.15,107219900,20.52
5/1/2006,24.32,25,22.45,22.65,110427000,19.32
6/1/2006,22.74,23.65,21.46,23.3,92940200,19.87
7/3/2006,23.53,24.6,22.23,24.06,68627600,20.52
8/1/2006,24.02,26.25,23.85,25.7,50459500,22
9/1/2006,25.89,27.52,25.39,27.35,56588300,23.41
10/2/2006,27.32,28.85,27.15,28.71,61492200,24.58
